what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1331608559937
locale,sysinfo,,,"ru_RU",1331608559937
processors,sysinfo,,,"2",1331608559937
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331608559937
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1331608559937
java.specification.name,sysinfo,,,"Java Platform API Specification",1331608559937
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331608559937
java.specification.version,sysinfo,,,"1.6",1331608559937
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331608559937
java.version,sysinfo,,,"1.6.0_31",1331608559937
java.vm.info,sysinfo,,,"mixed mode, sharing",1331608559937
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331608559937
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331608559937
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331608559937
java.vm.specification.version,sysinfo,,,"1.0",1331608559937
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331608559937
java.vm.version,sysinfo,,,"20.6-b01",1331608559937
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1331608560951
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1331608561045
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1331608561060
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1331608561638
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1331608561981
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1331608562012
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1331608562028
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1331608562792
