what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1331610523816
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1331610523816
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1331610523816
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1331610523816
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1331610523816
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1331610523816
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1331610523816
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1331610523816
os,sysinfo,,,"win32",1331610523829
arch,sysinfo,,,"x86",1331610523829
ws,sysinfo,,,"win32",1331610523829
locale,sysinfo,,,"ru_RU",1331610523829
processors,sysinfo,,,"2",1331610523829
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331610523829
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1331610523829
java.specification.name,sysinfo,,,"Java Platform API Specification",1331610523829
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331610523829
java.specification.version,sysinfo,,,"1.6",1331610523829
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331610523829
java.version,sysinfo,,,"1.6.0_31",1331610523829
java.vm.info,sysinfo,,,"mixed mode, sharing",1331610523829
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331610523829
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331610523829
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331610523829
java.vm.specification.version,sysinfo,,,"1.0",1331610523829
