what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1331566330343
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1331566330343
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1331566330375
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1331566330375
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1331566330375
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1331566330390
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1331566330406
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1331566330406
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1331566330406
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1331566330421
os,sysinfo,,,"win32",1331566330421
arch,sysinfo,,,"x86",1331566330421
ws,sysinfo,,,"win32",1331566330421
locale,sysinfo,,,"ru_RU",1331566330421
processors,sysinfo,,,"2",1331566330421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331566330421
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1331566330421
java.specification.name,sysinfo,,,"Java Platform API Specification",1331566330421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331566330421
java.specification.version,sysinfo,,,"1.6",1331566330421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331566330421
java.version,sysinfo,,,"1.6.0_10",1331566330421
java.vm.info,sysinfo,,,"mixed mode",1331566330421
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331566330421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331566330421
